id_canal,st_titulo,dh_inicio,dh_fim,id_programa,titulo
483,chicago_pd,2018-08-01T01:45Z,2018-08-01T02:40Z,414605,Chicago P.D.
483,chicago_pd,2018-08-01T02:40Z,2018-08-01T03:35Z,418747,Chicago P.D.
483,chicago_pd,2018-08-01T03:35Z,2018-08-01T04:30Z,418748,Chicago P.D.
483,law_order_svu,2018-08-01T04:30Z,2018-08-01T05:20Z,652785,Law & Order SVU
483,ritmo_cubano,2018-08-01T05:20Z,2018-08-01T07:00Z,439244,Ritmo Cubano
483,infomercial,2018-08-01T07:00Z,2018-08-01T08:10Z,373082,Infomercial
483,cinelab,2018-08-01T08:10Z,2018-08-01T08:40Z,446075,Cinelab
483,chicago_pd,2018-08-01T08:40Z,2018-08-01T09:35Z,414604,Chicago P.D.
483,chicago_pd,2018-08-01T09:35Z,2018-08-01T10:30Z,414605,Chicago P.D.
483,chicago_pd,2018-08-01T10:30Z,2018-08-01T11:25Z,418747,Chicago P.D.
483,chicago_pd,2018-08-01T11:25Z,2018-08-01T12:20Z,418748,Chicago P.D.
483,house,2018-08-01T12:20Z,2018-08-01T13:15Z,257888,House
483,shades_of_blue,2018-08-01T13:15Z,2018-08-01T14:10Z,584924,Shades of Blue
483,ressaca_de_amor,2018-08-01T14:10Z,2018-08-01T16:10Z,161970,Ressaca de Amor
483,chicago_fire,2018-08-01T16:10Z,2018-08-01T17:05Z,552389,Chicago Fire
483,chicago_fire,2018-08-01T17:05Z,2018-08-01T18:00Z,552390,Chicago Fire
483,171_negocio_de_familia,2018-08-01T18:00Z,2018-08-01T19:40Z,626768,171 - Negócio De Família
483,conselho_tutelar,2018-08-01T19:40Z,2018-08-01T20:40Z,663451,Conselho Tutelar
483,hacker,2018-08-01T20:40Z,2018-08-01T23:00Z,451450,Hacker
483,lucifer,2018-08-01T23:00Z,2018-08-01T23:55Z,663459,Lucifer
483,macgyver,2018-08-01T23:55Z,2018-08-02T00:50Z,658598,Macgyver
483,elementary,2018-08-02T00:50Z,2018-08-02T01:45Z,606378,Elementary
483,elementary,2018-08-02T01:45Z,2018-08-02T02:40Z,606379,Elementary
483,elementary,2018-08-02T02:40Z,2018-08-02T03:35Z,606380,Elementary
483,elementary,2018-08-02T03:35Z,2018-08-02T04:30Z,606381,Elementary
483,cinelab,2018-08-02T04:30Z,2018-08-02T05:00Z,446075,Cinelab
483,ressaca_de_amor,2018-08-02T05:00Z,2018-08-02T07:00Z,161970,Ressaca de Amor
483,infomercial,2018-08-02T07:00Z,2018-08-02T08:05Z,373082,Infomercial
483,it_takes_a_killer,2018-08-02T08:05Z,2018-08-02T08:35Z,647184,It Takes A Killer
483,elementary,2018-08-02T08:35Z,2018-08-02T09:30Z,606378,Elementary
483,elementary,2018-08-02T09:30Z,2018-08-02T10:25Z,606379,Elementary
483,elementary,2018-08-02T10:25Z,2018-08-02T11:20Z,606380,Elementary
483,elementary,2018-08-02T11:20Z,2018-08-02T12:15Z,606381,Elementary
483,shades_of_blue,2018-08-02T12:15Z,2018-08-02T13:10Z,590236,Shades of Blue
